,도로명,lat,lon
0,경안천로 159,37.2354083,127.2102248
0,경안천로 145,37.2354083,127.2102248
0,송정로 69,35.8022857,127.1172614
0,중앙로335번길 42,37.4311216,127.2557917
0,경안천로 91,37.2354083,127.2102248
0,중앙로 211,36.6527935,127.4876506
0,신현로 20,37.3618264,127.1491241
0,문형산길 131,37.3633869,127.1640195
0,문형산길 138,37.3633869,127.1640195
0,태재로 20-30,37.34651,127.1804
0,태재로 20-20,37.34651,127.1804
0,20-20,12.3861233,-1.5767041
0,신현로 12-37,37.3618264,127.1491241
0,12-37,50.0857352,14.5766331
0,태재로 20-15,37.34651,127.1804
0,신현로 65-24,37.3618264,127.1491241
0,65-24,45.8076316,13.5968878
0,신현로 65-14,37.4083268,126.7851983
0,65-14,45.8100947,13.5963007
0,새말길 93,37.3749693,127.1634679
0,93,48.9098125,2.452863478
0,경충대로1461번길 43,37.3975584,127.2690356
0,경충대로 1430,37.2349518,127.5197996
0,경충대로1422번길 25,37.398603,127.2793674
0,경충대로1422번길 26,37.398603,127.2793674
0,경충대로 1498,37.2349518,127.5197996
0,경충대로1422번길 41,37.398603,127.2793674
0,경충대로1422번길 42,37.398603,127.2793674
0,마루들길 251,37.3777855,127.2572869
0,청석로 70,37.4105263,127.2652108
0,청석로 74,37.4105263,127.2652108
0,양벌로 375,37.3777614,127.253618
0,375,-45.5148125,167.3384608
0,276,62.766667,29.85
0,마루들길 276,37.3777855,127.2572869
0,마루들길 314,37.3777855,127.2572869
0,314,15.9338258,-89.6387107
0,마루들길 294,37.3777855,127.2572869
0,294,49.420096,7.8194555
0,35-17,35.200978,-90.0540807
0,양벌로 173,37.3777614,127.253618
0,173,49.9206142,20.9371082
0,마루들길 226,37.3777855,127.2572869
0,226,49.90070435,21.37930283
0,마루들길 248,37.3777855,127.2572869
0,248,25.07449094,121.4482063
0,양촌길 134,37.3704797,127.2436016
0,134,45.8324687,14.6383103
0,순암로36번길 88,37.4003055,127.2461048
0,순암로36번길 70,37.3997669,127.2482397
0,순암로36번길 87,37.3989312,127.2456121
0,순암로36번길 61,37.3979771,127.244964
0,순암로36번길 41,37.3974813,127.246469
0,순암로36번길 30,37.3957738,127.2465199
0,회안대로 621-21,37.3800705,127.2387832
0,회안대로 621-15,37.407354,127.2370349
0,고불로 33,37.3956333,127.234196
0,무들로 59-63,37.3873089,127.2958445
0,경충대로1284번길 40,37.3907312,127.2915188
0,무들로 28,37.3873089,127.2958445
0,현산로 69,37.405306,127.2905165
0,현산로 99,37.405306,127.2905165
0,현산로 119,37.405306,127.2905165
0,현산로 86,37.405306,127.2905165
0,경충대로 923,37.3642964,127.3106377
0,경충대로 921,37.2349518,127.5197996
0,독고개길 14-24,37.3466249,127.3088195
0,경충대로1127번길 15,37.3771041,127.2917513
0,경충대로1127번길 55,37.3771041,127.2917513
0,경충대로1127번길 65,37.3771041,127.2917513
0,경충대로 1067,37.2349518,127.5197996
0,경충대로 1065,37.2349518,127.5197996
0,경충대로1127번길 21-4,37.3771041,127.2917513
0,경충대로1127번길 21-3,37.3771041,127.2917513
0,경충대로1127번길 21-2,37.3771041,127.2917513
0,경충대로1127번길 21-1,37.3771041,127.2917513
0,경충대로1127번길 21-7,37.3771041,127.2917513
0,경충대로1127번길 21-5,37.3771041,127.2917513
0,경충대로1127번길 21-6,37.3771041,127.2917513
